"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","30 Aug 2018","9979.35","9986.35","9947.00","9975.20"
"NIFTY 500","29 Aug 2018","9995.10","10015.35","9964.35","9973.65"
"NIFTY 500","28 Aug 2018","9990.25","10012.85","9963.35","9985.90"
"NIFTY 500","27 Aug 2018","9893.45","9966.90","9887.50","9958.80"
"NIFTY 500","24 Aug 2018","9860.90","9889.95","9821.45","9850.80"
"NIFTY 500","23 Aug 2018","9900.05","9900.05","9839.00","9872.55"
"NIFTY 500","21 Aug 2018","9862.90","9868.50","9831.05","9862.50"
"NIFTY 500","20 Aug 2018","9800.80","9846.55","9798.90","9839.75"
"NIFTY 500","17 Aug 2018","9730.85","9776.30","9728.20","9770.20"
"NIFTY 500","16 Aug 2018","9696.90","9742.50","9666.50","9685.65"
"NIFTY 500","14 Aug 2018","9678.70","9730.65","9672.15","9726.15"
"NIFTY 500","13 Aug 2018","9673.00","9704.90","9641.15","9656.50"
"NIFTY 500","10 Aug 2018","9776.70","9777.85","9715.30","9724.45"
"NIFTY 500","09 Aug 2018","9779.35","9784.05","9752.95","9769.10"
"NIFTY 500","08 Aug 2018","9723.80","9754.30","9696.70","9744.75"
"NIFTY 500","07 Aug 2018","9740.65","9744.25","9675.75","9704.80"
"NIFTY 500","06 Aug 2018","9723.05","9743.65","9698.00","9709.35"
"NIFTY 500","03 Aug 2018","9631.40","9690.55","9630.45","9685.70"
"NIFTY 500","02 Aug 2018","9642.10","9642.10","9579.70","9588.80"
"NIFTY 500","01 Aug 2018","9661.70","9683.60","9620.95","9651.70"
"NIFTY 500","31 Jul 2018","9615.10","9657.60","9582.70","9650.60"
"NIFTY 500","30 Jul 2018","9598.50","9624.90","9566.35","9618.70"
"NIFTY 500","27 Jul 2018","9537.00","9583.15","9526.55","9579.05"
"NIFTY 500","26 Jul 2018","9455.85","9502.15","9454.00","9487.90"
"NIFTY 500","25 Jul 2018","9466.95","9476.50","9433.90","9449.90"
"NIFTY 500","24 Jul 2018","9385.95","9454.80","9383.35","9450.65"
"NIFTY 500","23 Jul 2018","9301.70","9369.80","9295.95","9363.85"
"NIFTY 500","20 Jul 2018","9238.60","9295.05","9217.60","9286.10"
"NIFTY 500","19 Jul 2018","9284.85","9287.80","9210.10","9236.30"
"NIFTY 500","18 Jul 2018","9359.50","9371.95","9244.95","9269.55"
"NIFTY 500","17 Jul 2018","9232.55","9321.90","9214.70","9315.25"
"NIFTY 500","16 Jul 2018","9350.10","9350.20","9222.30","9231.25"
"NIFTY 500","13 Jul 2018","9406.00","9408.30","9335.10","9349.05"
"NIFTY 500","12 Jul 2018","9392.75","9442.40","9373.10","9380.90"
"NIFTY 500","11 Jul 2018","9362.60","9379.60","9333.85","9344.25"
